,funding_8h,current_funding,best_bid_amount,best_ask_amount,estimated_delivery_price,best_bid_price,best_ask_price,interest_value,open_interest,max_price,min_price,last_price,settlement_price,instrument_name,mark_price,index_price,state,timestamp,stats.volume_notional,stats.volume_usd,stats.volume,stats.price_change,stats.low,stats.high,bid_iv,ask_iv,underlying_index,underlying_price,mark_iv,interest_rate,greeks.rho,greeks.theta,greeks.vega,greeks.gamma,greeks.delta,t,strike,m
BTC-3MAY24-68000-C,,,126.1,11.8,64066.17,0.0065,0.0075,,1161.8,0.0405,0.0001,0.0065,0.00384705,BTC-3MAY24-68000-C,0.0073,64066.17,open,1714275848844,,245037.4,710.0,58.5366,0.003,0.0065,54.05,57.08,BTC-3MAY24,64119.15,56.39,0.0,1.75354,-116.43609,21.38368,7e-05,0.20005,5.0,68000.0,-0.05940661388934309
BTC-3MAY24-69000-C,,,23.3,55.1,64065.99,0.005,0.006,,762.0,0.0365,0.0001,0.0045,0.00271521,BTC-3MAY24-69000-C,0.0055,64065.99,open,1714275850860,,14211.18,58.5,45.1613,0.0023,0.005,56.94,60.46,BTC-3MAY24,64118.45,58.67,0.0,1.36036,-103.12485,18.20098,5e-05,0.15505,5.0,69000.0,-0.07400541331049576
BTC-3MAY24-70000-C,,,9.6,10.0,64065.95,0.0039,0.0043,,1382.8,0.033,0.0001,0.0034,0.00202577,BTC-3MAY24-70000-C,0.0041,64065.95,open,1714275852873,,18704.14,93.8,70.0,0.0015,0.0038,59.78,61.47,BTC-3MAY24,64118.49,60.73,0.0,1.05009,-89.36812,15.2383,4e-05,0.11957,5.0,70000.0,-0.08839415076259535
BTC-3MAY24-71000-C,,,31.2,12.9,64058.91,0.0029,0.0035,,499.3,0.0305,0.0001,0.0028,0.00155757,BTC-3MAY24-71000-C,0.0032,64058.91,open,1714275858889,,460.65,3.9,86.6667,0.0011,0.0028,61.68,64.69,BTC-3MAY24,64110.9,63.42,0.0,0.83014,-78.74628,12.85785,3e-05,0.09452,5.0,71000.0,-0.10257878575455183
BTC-3MAY24-72000-C,,,29.0,9.5,64042.54,0.0022,0.0028,,631.6,0.028,0.0001,0.0025,0.00124063,BTC-3MAY24-72000-C,0.0026,64042.54,open,1714275860929,,1137.71,8.9,127.2727,0.001,0.0025,63.8,67.41,BTC-3MAY24,64095.68,65.91,0.0,0.65542,-68.51468,10.76524,3e-05,0.07463,5.0,72000.0,-0.1165650277292916
BTC-3MAY24-73000-C,,,26.6,9.1,64041.66,0.0017,0.0022,,586.8,0.026,0.0001,0.0019,0.00107764,BTC-3MAY24-73000-C,0.002,64041.66,open,1714275862943,,721.67,8.7,90.0,0.001,0.002,65.94,69.56,BTC-3MAY24,64092.6,68.29,0.0,0.52227,-59.54063,9.02923,2e-05,0.05946,5.0,73000.0,-0.13035834986162742
BTC-3MAY24-74000-C,,,1.8,9.5,64041.32,0.0014,0.0018,,378.0,0.024,0.0001,0.0014,0.00081257,BTC-3MAY24-74000-C,0.0016,64041.32,open,1714275863951,,605.47,9.4,40.0,0.001,0.0017,68.72,72.13,BTC-3MAY24,64092.1,70.25,0.0,0.41166,-50.69815,7.47365,2e-05,0.04685,5.0,74000.0,-0.1439640019174061
BTC-3MAY24-75000-C,,,17.2,101.5,64040.09,0.001,0.0014,,584.7,0.022,0.0001,0.0011,0.00064227,BTC-3MAY24-75000-C,0.0012,64040.09,open,1714275866558,,474.0,7.9,37.5,0.0005,0.0013,69.59,73.83,BTC-3MAY24,64091.34,71.76,0.0,0.31857,-42.05462,6.06842,1e-05,0.03623,5.0,75000.0,-0.15738702224954682
BTC-3MAY24-76000-C,,,12.2,0.1,64044.3,0.0008,0.001,,429.1,0.0205,0.0001,0.0009,0.00052967,BTC-3MAY24-76000-C,0.001,64044.3,open,1714275870999,,112.09,2.9,80.0,0.0004,0.0009,71.7,74.33,BTC-3MAY24,64096.07,73.98,0.0,0.25879,-36.52835,5.11294,1e-05,0.02943,5.0,76000.0,-0.1706322489995674
BTC-3MAY24-77000-C,,,13.7,0.1,64044.11,0.0006,0.0008,,538.9,0.019,0.0001,0.0006,0.0004307,BTC-3MAY24-77000-C,0.0008,64044.11,open,1714275872011,,519.78,15.2,100.0,0.0003,0.0008,73.02,76.25,BTC-3MAY24,64094.25,75.64,0.0,0.2042,-30.63301,4.19316,1e-05,0.02322,5.0,77000.0,-0.18370433056692026
