tick_size_steps,quote_currency,min_trade_amount,counter_currency,settlement_period,settlement_currency,block_trade_tick_size,block_trade_min_trade_amount,block_trade_commission,option_type,creation_timestamp,instrument_id,base_currency,tick_size,contract_size,strike,is_active,expiration_timestamp,instrument_type,taker_commission,maker_commission,kind,rfq,price_index
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,2024-04-26 08:00:21,320645,BTC,0.0001,1.0,61000.0,True,2024-04-29 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,2024-04-26 08:00:21,320646,BTC,0.0001,1.0,61000.0,True,2024-04-29 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,2024-04-26 08:00:21,320647,BTC,0.0001,1.0,61500.0,True,2024-04-29 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,2024-04-26 08:00:21,320648,BTC,0.0001,1.0,61500.0,True,2024-04-29 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,2024-04-26 08:00:21,320649,BTC,0.0001,1.0,62000.0,True,2024-04-29 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,2024-04-26 08:00:21,320650,BTC,0.0001,1.0,62000.0,True,2024-04-29 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,2024-04-26 08:00:21,320651,BTC,0.0001,1.0,62500.0,True,2024-04-29 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,2024-04-26 08:00:21,320652,BTC,0.0001,1.0,62500.0,True,2024-04-29 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,2024-04-26 08:00:21,320653,BTC,0.0001,1.0,63000.0,True,2024-04-29 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,2024-04-26 08:00:21,320654,BTC,0.0001,1.0,63000.0,True,2024-04-29 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
